category,job,characters,movie,person
actor,\N,"[""Norman Maine""]",A Star Is Born,James Mason
actor,\N,"[""Matt Libby""]",A Star Is Born,Jack Carson
director,\N,\N,A Star Is Born,George Cukor
writer,screen play by,\N,A Star Is Born,Moss Hart
actor,\N,"[""Zampanò""]",La strada,Anthony Quinn
actress,\N,"[""Gelsomina""]",La strada,Giulietta Masina
actor,\N,"[""Il matto""]",La strada,Richard Basehart
director,\N,\N,La strada,Federico Fellini
writer,story and screenplay,\N,La strada,Federico Fellini
actor,\N,"[""Sgt. Ben Peterson""]",Them!,James Whitmore
actor,\N,"[""Dr. Harold Medford""]",Them!,Edmund Gwenn
actress,\N,"[""Dr. Patricia Medford""]",Them!,Joan Weldon
director,\N,\N,Them!,Gordon Douglas
writer,screenplay,\N,Them!,Ted Sherdeman
actor,\N,"[""Bob Wallace""]",White Christmas,Bing Crosby
actor,\N,"[""Phil Davis""]",White Christmas,Danny Kaye
actress,\N,"[""Betty Haynes""]",White Christmas,Rosemary Clooney
director,director,\N,White Christmas,Michael Curtiz
writer,written for the screen by,\N,White Christmas,Norman Krasna
actress,\N,"[""Cary Scott""]",All That Heaven Allows,Jane Wyman
actor,\N,"[""Ron Kirby""]",All That Heaven Allows,Rock Hudson
actress,\N,"[""Sara Warren""]",All That Heaven Allows,Agnes Moorehead
director,\N,\N,All That Heaven Allows,Douglas Sirk
writer,screenplay,\N,All That Heaven Allows,Peggy Thompson
actor,\N,"[""Narrator""]",Animal Farm,Gordon Heath
actor,\N,"[""All Animals""]",Animal Farm,Maurice Denham
director,\N,\N,Animal Farm,Joy Batchelor
writer,based on a story by,\N,Animal Farm,George Orwell
actor,\N,"[""John J. Macreedy""]",Bad Day at Black Rock,Spencer Tracy
actor,\N,"[""Reno Smith""]",Bad Day at Black Rock,Robert Ryan
actress,\N,"[""Liz Wirth""]",Bad Day at Black Rock,Anne Francis
director,\N,\N,Bad Day at Black Rock,John Sturges
writer,screen play,\N,Bad Day at Black Rock,Millard Kaufman
actor,\N,"[""Richard Dadier""]",Blackboard Jungle,Glenn Ford
actress,\N,"[""Anne Dadier""]",Blackboard Jungle,Anne Francis
actor,\N,"[""Jim Murdock""]",Blackboard Jungle,Louis Calhern
director,\N,\N,Blackboard Jungle,Richard Brooks
writer,screenplay,\N,Blackboard Jungle,Richard Brooks
actor,\N,"[""Bob Montagné""]",Bob le flambeur,Roger Duchesne
actress,\N,"[""Anne""]",Bob le flambeur,Isabelle Corey
actor,\N,"[""Paolo""]",Bob le flambeur,Daniel Cauchy
director,director,\N,Bob le flambeur,Jean-Pierre Melville
writer,original story,\N,Bob le flambeur,Jean-Pierre Melville
actor,\N,"[""Glenn Griffin""]",The Desperate Hours,Humphrey Bogart
actor,\N,"[""Daniel Hilliard""]",The Desperate Hours,Fredric March
actor,\N,"[""Deputy Sheriff Jesse Bard""]",The Desperate Hours,Arthur Kennedy
director,\N,\N,The Desperate Hours,William Wyler
writer,screenplay,\N,The Desperate Hours,Joseph Hayes
actor,\N,"[""Tony le Stéphanois""]",Du rififi chez les hommes,Jean Servais
actor,\N,"[""Jo le suédois""]",Du rififi chez les hommes,Carl Möhner
actor,\N,"[""Mario Ferrati""]",Du rififi chez les hommes,Robert Manuel
director,\N,\N,Du rififi chez les hommes,Jules Dassin
writer,"novel ""Du rififi chez les hommes""",\N,Du rififi chez les hommes,Auguste Le Breton
actor,\N,"[""Cal Trask""]",East of Eden,James Dean
actor,\N,"[""Adam Trask""]",East of Eden,Raymond Massey
actress,\N,"[""Abra""]",East of Eden,Julie Harris
director,\N,\N,East of Eden,Elia Kazan
writer,novel,\N,East of Eden,John Steinbeck
actor,\N,"[""Sky Masterson""]",Guys and Dolls,Marlon Brando
actress,\N,"[""Sarah Brown""]",Guys and Dolls,Jean Simmons
actor,\N,"[""Nathan Detroit""]",Guys and Dolls,Frank Sinatra
director,\N,\N,Guys and Dolls,Joseph L. Mankiewicz
writer,"based upon the play: ""Guys and Dolls"" book by",\N,Guys and Dolls,Jo Swerling
actor,\N,"[""Mike Hammer""]",Kiss Me Deadly,Ralph Meeker
actor,\N,"[""Dr. G.E. Soberin""]",Kiss Me Deadly,Albert Dekker
actor,\N,"[""Carl Evello""]",Kiss Me Deadly,Paul Stewart
director,\N,\N,Kiss Me Deadly,Robert Aldrich
writer,"novel ""Kiss Me, Deadly""",\N,Kiss Me Deadly,Mickey Spillane
actress,\N,"[""Lady""]",Lady and the Tramp,Barbara Luddy
actor,\N,"[""The Tramp""]",Lady and the Tramp,Larry Roberts
actress,\N,"[""Darling""]",Lady and the Tramp,Peggy Lee
director,\N,\N,Lady and the Tramp,Clyde Geronimi
writer,from the story by,\N,Lady and the Tramp,Ward Greene
actor,\N,"[""Professor Marcus""]",The Ladykillers,Alec Guinness
actor,\N,"[""Harry Robinson""]",The Ladykillers,Peter Sellers
actor,\N,"[""Claude""]",The Ladykillers,Cecil Parker
director,\N,\N,The Ladykillers,Alexander Mackendrick
writer,story,\N,The Ladykillers,William Rose
actor,\N,"[""Will Lockhart""]",The Man from Laramie,James Stewart
actor,\N,"[""Vic Hansbro""]",The Man from Laramie,Arthur Kennedy
actor,\N,"[""Alec Waggoman""]",The Man from Laramie,Donald Crisp
director,\N,\N,The Man from Laramie,Anthony Mann
writer,screenplay,\N,The Man from Laramie,Philip Yordan
actor,\N,"[""Frankie Machine""]",The Man with the Golden Arm,Frank Sinatra
actress,\N,"[""Molly""]",The Man with the Golden Arm,Kim Novak
actress,\N,"[""Zosh Machine""]",The Man with the Golden Arm,Eleanor Parker
director,\N,\N,The Man with the Golden Arm,Otto Preminger
writer,screenplay,\N,The Man with the Golden Arm,Walter Newman
actor,\N,"[""Marty Piletti""]",Marty,Ernest Borgnine
actress,\N,"[""Clara Snyder""]",Marty,Betsy Blair
actress,\N,"[""Teresa Piletti""]",Marty,Esther Minciotti
director,\N,\N,Marty,Delbert Mann
writer,story,\N,Marty,Paddy Chayefsky
actor,\N,"[""Lieutenant Roberts""]",Mister Roberts,Henry Fonda
actor,\N,"[""The Captain""]",Mister Roberts,James Cagney
actor,\N,"[""Doc""]",Mister Roberts,William Powell
director,\N,\N,Mister Roberts,John Ford
writer,screenplay,\N,Mister Roberts,Frank S. Nugent
actor,\N,"[""Harry Powell""]",The Night of the Hunter,Robert Mitchum
actress,\N,"[""Willa Harper""]",The Night of the Hunter,Shelley Winters
actress,\N,"[""Rachel Cooper""]",The Night of the Hunter,Lillian Gish
director,\N,\N,The Night of the Hunter,Charles Laughton
writer,from the novel by,\N,The Night of the Hunter,Davis Grubb
actor,\N,"[""Morten Borgen""]",Ordet,Henrik Malberg
actor,\N,"[""Mikkel Borgen""]",Ordet,Emil Hass Christensen
actor,\N,"[""Johannes Borgen""]",Ordet,Preben Lerdorff Rye
director,\N,\N,Ordet,Carl Theodor Dreyer
writer,play,\N,Ordet,Kaj Munk
actor,\N,"[""Harihar Ray""]",Pather Panchali,Kanu Bannerjee
actress,\N,"[""Sarbojaya Ray""]",Pather Panchali,Karuna Bannerjee
actor,\N,"[""Apu Ray""]",Pather Panchali,Subir Banerjee
director,\N,\N,Pather Panchali,Satyajit Ray
writer,novel,\N,Pather Panchali,Bibhutibhushan Bandyopadhyay
actor,\N,"[""Jim Stark""]",Rebel Without a Cause,James Dean
actress,\N,"[""Judy""]",Rebel Without a Cause,Natalie Wood
actor,\N,"[""Plato Crawford""]",Rebel Without a Cause,Sal Mineo
director,\N,\N,Rebel Without a Cause,Nicholas Ray
writer,screen play,\N,Rebel Without a Cause,Stewart Stern
actress,\N,"[""The Girl""]",The Seven Year Itch,Marilyn Monroe
actor,\N,"[""Richard Sherman""]",The Seven Year Itch,Tom Ewell
actress,\N,"[""Helen Sherman""]",The Seven Year Itch,Evelyn Keyes
director,\N,\N,The Seven Year Itch,Billy Wilder
writer,screenplay,\N,The Seven Year Itch,Billy Wilder
actress,\N,"[""Anne Egerman""]",Sommarnattens leende,Ulla Jacobsson
actress,\N,"[""Desiree Armfeldt""]",Sommarnattens leende,Eva Dahlbeck
actress,\N,"[""Petra the Maid""]",Sommarnattens leende,Harriet Andersson
director,\N,\N,Sommarnattens leende,Ingmar Bergman
writer,\N,\N,Sommarnattens leende,Ingmar Bergman
actress,\N,"[""Jane Hudson""]",Summertime,Katharine Hepburn
actor,\N,"[""Renato de Rossi""]",Summertime,Rossano Brazzi
actress,\N,"[""Signora Fiorini""]",Summertime,Isa Miranda
director,\N,\N,Summertime,David Lean
writer,"based on the original play ""The Time of the Cuckoo""",\N,Summertime,Arthur Laurents
actor,\N,"[""John Robie""]",To Catch a Thief,Cary Grant
actress,\N,"[""Frances Stevens""]",To Catch a Thief,Grace Kelly
actress,\N,"[""Jessie Stevens""]",To Catch a Thief,Jessie Royce Landis
director,\N,\N,To Catch a Thief,Alfred Hitchcock
writer,screenplay,\N,To Catch a Thief,John Michael Hayes
actor,\N,"[""Joseph""]",We're No Angels,Humphrey Bogart
actor,\N,"[""Jules""]",We're No Angels,Peter Ustinov
actor,\N,"[""Albert""]",We're No Angels,Aldo Ray
director,\N,\N,We're No Angels,Michael Curtiz
writer,"play ""La cuisine des anges""",\N,We're No Angels,Albert Husson
actor,\N,"[""Apu (young)""]",Aparajito,Pinaki Sengupta
actor,\N,"[""Apu - adolescent""]",Aparajito,Smaran Ghosal
actress,\N,"[""Mokshada""]",Aparajito,Kamala Adhikari
director,\N,\N,Aparajito,Satyajit Ray
writer,"novel ""Aparajito""",\N,Aparajito,Bibhutibhushan Bandyopadhyay
actress,\N,"[""Christine Penmark""]",The Bad Seed,Nancy Kelly
actress,\N,"[""Rhoda Penmark""]",The Bad Seed,Patty McCormack
actor,\N,"[""Reggie Tasker""]",The Bad Seed,Gage Clarke
director,\N,\N,The Bad Seed,Mervyn LeRoy
writer,screenplay,\N,The Bad Seed,John Lee Mahin
actor,\N,"[""Hubert Hawkins""]",The Court Jester,Danny Kaye
actress,\N,"[""Maid Jean""]",The Court Jester,Glynis Johns
actor,\N,"[""Sir Ravenhurst""]",The Court Jester,Basil Rathbone
director,\N,\N,The Court Jester,Melvin Frank
writer,written by,\N,The Court Jester,Norman Panama
actor,\N,"[""Dr. Morbius""]",Forbidden Planet,Walter Pidgeon
actress,\N,"[""Altaira Morbius""]",Forbidden Planet,Anne Francis
actor,\N,"[""Commander Adams""]",Forbidden Planet,Leslie Nielsen
director,director,\N,Forbidden Planet,Fred M. Wilcox
writer,screen play,\N,Forbidden Planet,Cyril Hume
actress,\N,"[""Leslie Benedict""]",Giant,Elizabeth Taylor
actor,\N,"[""Jordan 'Bick' Benedict Jr.""]",Giant,Rock Hudson
actor,\N,"[""Jett Rink""]",Giant,James Dean
director,\N,\N,Giant,George Stevens
writer,from the novel by,\N,Giant,Edna Ferber
actor,\N,"[""Dr. Miles J. Bennell""]",Invasion of the Body Snatchers,Kevin McCarthy
actress,\N,"[""Becky Driscoll""]",Invasion of the Body Snatchers,Dana Wynter
actor,\N,"[""Dr. Dan 'Danny' Kauffman""]",Invasion of the Body Snatchers,Larry Gates
director,\N,\N,Invasion of the Body Snatchers,Don Siegel
writer,screenplay by,\N,Invasion of the Body Snatchers,Daniel Mainwaring
actor,\N,"[""Johnny Clay""]",The Killing,Sterling Hayden
actress,\N,"[""Fay""]",The Killing,Coleen Gray
actor,\N,"[""Val Cannon""]",The Killing,Vince Edwards
director,\N,\N,The Killing,Stanley Kubrick
writer,screenplay by,\N,The Killing,Stanley Kubrick
actor,\N,"[""King Mongkut of Siam""]",The King and I,Yul Brynner
actress,\N,"[""Anna Leonowens""]",The King and I,Deborah Kerr
actress,\N,"[""Tuptim""]",The King and I,Rita Moreno
director,\N,\N,The King and I,Walter Lang
writer,screenplay,\N,The King and I,Ernest Lehman
actor,\N,"[""Vincent Van Gogh""]",Lust for Life,Kirk Douglas
actor,\N,"[""Paul Gauguin""]",Lust for Life,Anthony Quinn
actor,\N,"[""Theo Van Gogh""]",Lust for Life,James Donald
director,\N,\N,Lust for Life,Vincente Minnelli
writer,screen play,\N,Lust for Life,Norman Corwin
actor,\N,"[""Dr. Benjamin McKenna""]",The Man Who Knew Too Much,James Stewart
actress,\N,"[""Josephine Conway McKenna""]",The Man Who Knew Too Much,Doris Day
actress,\N,"[""Lucy Drayton""]",The Man Who Knew Too Much,Brenda de Banzie
director,\N,\N,The Man Who Knew Too Much,Alfred Hitchcock
writer,screenplay,\N,The Man Who Knew Too Much,John Michael Hayes
actor,\N,"[""Captain Ahab""]",Moby Dick,Gregory Peck
actor,\N,"[""Ishmael""]",Moby Dick,Richard Basehart
actor,\N,"[""Starbuck""]",Moby Dick,Leo Genn
director,\N,\N,Moby Dick,John Huston
writer,screenplay,\N,Moby Dick,Ray Bradbury
actor,\N,"[""Ethan Edwards""]",The Searchers,John Wayne
actor,\N,"[""Martin Pawley""]",The Searchers,Jeffrey Hunter
actress,\N,"[""Laurie Jorgensen""]",The Searchers,Vera Miles
director,\N,\N,The Searchers,John Ford
writer,screenplay,\N,The Searchers,Frank S. Nugent
actor,\N,"[""Moses""]",The Ten Commandments,Charlton Heston
actor,\N,"[""Rameses""]",The Ten Commandments,Yul Brynner
actress,\N,"[""Nefretiri""]",The Ten Commandments,Anne Baxter
director,director,\N,The Ten Commandments,Cecil B. DeMille
writer,"this work contains material from the book ""Prince of Egypt""",\N,The Ten Commandments,Dorothy Clarke Wilson
actor,\N,"[""Le lieutenant Fontaine""]",Un condamné à mort s'est échappé ou Le vent souffle où il veut,François Leterrier
actor,\N,"[""François Jost""]",Un condamné à mort s'est échappé ou Le vent souffle où il veut,Charles Le Clainche
actor,\N,"[""Blanchet""]",Un condamné à mort s'est échappé ou Le vent souffle où il veut,Maurice Beerblock
director,\N,\N,Un condamné à mort s'est échappé ou Le vent souffle où il veut,Robert Bresson
writer,memoir,\N,Un condamné à mort s'est échappé ou Le vent souffle où il veut,André Devigny
actor,\N,"[""Mitch Wayne""]",Written on the Wind,Rock Hudson
actress,\N,"[""Lucy Moore Hadley""]",Written on the Wind,Lauren Bacall
actor,\N,"[""Kyle Hadley""]",Written on the Wind,Robert Stack
director,\N,\N,Written on the Wind,Douglas Sirk
writer,screenplay,\N,Written on the Wind,George Zuckerman
actor,\N,"[""Juror 8""]",12 Angry Men,Henry Fonda
actor,\N,"[""Juror 3""]",12 Angry Men,Lee J. Cobb
actor,\N,"[""Juror 1""]",12 Angry Men,Martin Balsam
director,\N,\N,12 Angry Men,Sidney Lumet
writer,"teleplay ""Twelve Angry Men""",\N,12 Angry Men,Reginald Rose
actor,\N,"[""Ben Wade""]",3:10 to Yuma,Glenn Ford
actor,\N,"[""Dan Evans""]",3:10 to Yuma,Van Heflin
actress,\N,"[""Emmy""]",3:10 to Yuma,Felicia Farr
director,\N,\N,3:10 to Yuma,Delmer Daves
writer,screenplay,\N,3:10 to Yuma,Halsted Welles
actor,\N,"[""Nickie Ferrante""]",An Affair to Remember,Cary Grant
actress,\N,"[""Terry McKay""]",An Affair to Remember,Deborah Kerr
actor,\N,"[""Kenneth Bradley""]",An Affair to Remember,Richard Denning
director,\N,\N,An Affair to Remember,Leo McCarey
writer,screenplay,\N,An Affair to Remember,Delmer Daves
actress,\N,"[""Radha""]",Mother India,Nargis
actor,\N,"[""Birju""]",Mother India,Sunil Dutt
actor,\N,"[""Ramu""]",Mother India,Rajendra Kumar Tuli
director,director,\N,Mother India,Mehboob Khan
writer,dialogue,\N,Mother India,Wajahat Mirza
actor,\N,"[""Shears""]",The Bridge on the River Kwai,William Holden
actor,\N,"[""Colonel Nicholson""]",The Bridge on the River Kwai,Alec Guinness
actor,\N,"[""Major Warden""]",The Bridge on the River Kwai,Jack Hawkins
director,\N,\N,The Bridge on the River Kwai,David Lean
writer,"novel ""Le pont de la rivière Kwaï""",\N,The Bridge on the River Kwai,Pierre Boulle
actor,\N,"[""Capt. Murrell""]",The Enemy Below,Robert Mitchum
actor,\N,"[""Von Stolberg""]",The Enemy Below,Curd Jürgens
actor,\N,"[""Lt. Ware""]",The Enemy Below,David Hedison
director,\N,\N,The Enemy Below,Dick Powell
writer,screenplay by,\N,The Enemy Below,Wendell Mayes
actor,\N,"[""Larry 'Lonesome' Rhodes""]",A Face in the Crowd,Andy Griffith
actress,\N,"[""Marcia Jeffries""]",A Face in the Crowd,Patricia Neal
actor,\N,"[""Joey DePalma""]",A Face in the Crowd,Anthony Franciosa
director,\N,\N,A Face in the Crowd,Elia Kazan
writer,story,\N,A Face in the Crowd,Budd Schulberg
actor,\N,"[""Wyatt Earp""]",Gunfight at the O.K. Corral,Burt Lancaster
actor,\N,"[""Doc Holliday""]",Gunfight at the O.K. Corral,Kirk Douglas
actress,\N,"[""Laura Denbow""]",Gunfight at the O.K. Corral,Rhonda Fleming
director,\N,\N,Gunfight at the O.K. Corral,John Sturges
writer,screenplay,\N,Gunfight at the O.K. Corral,Leon Uris
actor,\N,"[""Scott Carey""]",The Incredible Shrinking Man,Grant Williams
actress,\N,"[""Louise Carey""]",The Incredible Shrinking Man,Randy Stuart
actress,\N,"[""Clarice Bruce""]",The Incredible Shrinking Man,April Kent
director,director,\N,The Incredible Shrinking Man,Jack Arnold
writer,screenplay by,\N,The Incredible Shrinking Man,Richard Matheson
actor,\N,"[""Taketoki Washizu""]",Kumonosu-jô,Toshirô Mifune
actor,\N,"[""Yoshiaki Miki""]",Kumonosu-jô,Minoru Chiaki
actress,\N,"[""Lady Asaji Washizu""]",Kumonosu-jô,Isuzu Yamada
director,\N,\N,Kumonosu-jô,Akira Kurosawa
writer,screenplay by,\N,Kumonosu-jô,Hideo Oguni
actress,\N,"[""Veronika""]",Letyat zhuravli,Tatyana Samoylova
actor,\N,"[""Boris Fyodorovich Borozdin""]",Letyat zhuravli,Aleksey Batalov
actor,\N,"[""Fyodor Ivanovich Borozdin""]",Letyat zhuravli,Vasiliy Merkurev
director,\N,\N,Letyat zhuravli,Mikhail Kalatozov
writer,screenplay,\N,Letyat zhuravli,Viktor Rozov
actor,\N,"[""Frank Flannagan""]",Love in the Afternoon,Gary Cooper
actress,\N,"[""Ariane Chavasse""]",Love in the Afternoon,Audrey Hepburn
actress,\N,"[""Thin Girl""]",Love in the Afternoon,Audrey Hepburn
director,\N,\N,Love in the Afternoon,Billy Wilder
writer,screenplay,\N,Love in the Afternoon,Billy Wilder
actor,\N,"[""Monsieur Hulot""]",Mon oncle,Jacques Tati
actor,\N,"[""Charles Arpel""]",Mon oncle,Jean-Pierre Zola
actress,\N,"[""Madame Arpel""]",Mon oncle,Adrienne Servantie
director,\N,\N,Mon oncle,Jacques Tati
writer,artistic collaboration,\N,Mon oncle,Jacques Lagrange
actor,\N,"[""John Holden""]",Night of the Demon,Dana Andrews
actress,\N,"[""Joanna Harrington""]",Night of the Demon,Peggy Cummins
actor,\N,"[""Doctor Julian Karswell""]",Night of the Demon,Niall MacGinnis
director,\N,\N,Night of the Demon,Jacques Tourneur
writer,screen play,\N,Night of the Demon,Charles Bennett
actress,\N,"[""Maria 'Cabiria' Ceccarelli""]",Le notti di Cabiria,Giulietta Masina
actor,\N,"[""Oscar D'Onofrio""]",Le notti di Cabiria,François Périer
actress,\N,"[""Wanda""]",Le notti di Cabiria,Franca Marzi
director,\N,\N,Le notti di Cabiria,Federico Fellini
writer,story,\N,Le notti di Cabiria,Federico Fellini
actress,\N,"[""Katie Coates""]",Old Yeller,Dorothy McGuire
actor,\N,"[""Jim Coates""]",Old Yeller,Fess Parker
actor,\N,"[""Travis Coates""]",Old Yeller,Tommy Kirk
director,\N,\N,Old Yeller,Robert Stevenson
writer,screenplay by,\N,Old Yeller,Fred Gipson
actor,\N,"[""Col. Dax""]",Paths of Glory,Kirk Douglas
actor,\N,"[""Cpl. Philippe Paris""]",Paths of Glory,Ralph Meeker
actor,\N,"[""Gen. George Broulard""]",Paths of Glory,Adolphe Menjou
director,\N,\N,Paths of Glory,Stanley Kubrick
writer,screenplay,\N,Paths of Glory,Stanley Kubrick
actor,\N,"[""Antonius Block""]",Det sjunde inseglet,Max von Sydow
actor,\N,"[""Squire Jöns""]",Det sjunde inseglet,Gunnar Björnstrand
actor,\N,"[""Death""]",Det sjunde inseglet,Bengt Ekerot
director,\N,\N,Det sjunde inseglet,Ingmar Bergman
writer,"play ""Trämålning""",\N,Det sjunde inseglet,Ingmar Bergman
actor,\N,"[""Dr. Eberhard Isak Borg""]",Smultronstället,Victor Sjöström
actress,\N,"[""Sara""]",Smultronstället,Bibi Andersson
actress,\N,"[""Hitchhiker""]",Smultronstället,Bibi Andersson
director,\N,\N,Smultronstället,Ingmar Bergman
writer,written by,\N,Smultronstället,Ingmar Bergman
actor,\N,"[""J.J. Hunsecker""]",Sweet Smell of Success,Burt Lancaster
actor,\N,"[""Sidney Falco""]",Sweet Smell of Success,Tony Curtis
actress,\N,"[""Susan Hunsecker""]",Sweet Smell of Success,Susan Harrison
director,\N,\N,Sweet Smell of Success,Alexander Mackendrick
writer,screenplay,\N,Sweet Smell of Success,Clifford Odets
actor,\N,"[""Leonard Vole""]",Witness for the Prosecution,Tyrone Power
actress,\N,"[""Christine""]",Witness for the Prosecution,Marlene Dietrich
actor,\N,"[""Sir Wilfrid Robarts""]",Witness for the Prosecution,Charles Laughton
director,\N,\N,Witness for the Prosecution,Billy Wilder
writer,in Agatha Christie's international stage success,\N,Witness for the Prosecution,Agatha Christie
actor,\N,"[""Christopher Emanuel 'Manny' Balestrero""]",The Wrong Man,Henry Fonda
actress,\N,"[""Rose Balestrero""]",The Wrong Man,Vera Miles
actor,\N,"[""Frank D. O'Connor""]",The Wrong Man,Anthony Quayle
director,\N,\N,The Wrong Man,Alfred Hitchcock
writer,screen play by,\N,The Wrong Man,Maxwell Anderson
actor,\N,"[""Albert Emanuel Vogler""]",Ansiktet,Max von Sydow
actress,\N,"[""Manda Vogler (alias Mr. Aman)""]",Ansiktet,Ingrid Thulin
actor,\N,"[""Dr. Vergerus, Minister of Health""]",Ansiktet,Gunnar Björnstrand
director,\N,\N,Ansiktet,Ingmar Bergman
writer,writer,\N,Ansiktet,Ingmar Bergman
actress,\N,"[""Florence Carala""]",Ascenseur pour l'échafaud,Jeanne Moreau
actor,\N,"[""Julien Tavernier""]",Ascenseur pour l'échafaud,Maurice Ronet
actor,\N,"[""Louis""]",Ascenseur pour l'échafaud,Georges Poujouly
director,\N,\N,Ascenseur pour l'échafaud,Louis Malle
writer,adaptation,\N,Ascenseur pour l'échafaud,Roger Nimier
actress,\N,"[""Mame Dennis""]",Auntie Mame,Rosalind Russell
actor,\N,"[""Beauregard Jackson Pickett Burnside""]",Auntie Mame,Forrest Tucker
actress,\N,"[""Vera Charles""]",Auntie Mame,Coral Browne
director,\N,\N,Auntie Mame,Morton DaCosta
writer,screenplay,\N,Auntie Mame,Betty Comden
actor,\N,"[""James McKay""]",The Big Country,Gregory Peck
actress,\N,"[""Julie Maragon""]",The Big Country,Jean Simmons
actress,\N,"[""Patricia Terrill""]",The Big Country,Carroll Baker
director,\N,\N,The Big Country,William Wyler
writer,screenplay,\N,The Big Country,James R. Webb
actress,\N,"[""Maggie Pollitt""]",Cat on a Hot Tin Roof,Elizabeth Taylor
actor,\N,"[""Brick Pollitt""]",Cat on a Hot Tin Roof,Paul Newman
actor,\N,"[""Big Daddy Pollitt""]",Cat on a Hot Tin Roof,Burl Ives
director,\N,\N,Cat on a Hot Tin Roof,Richard Brooks
writer,screenplay,\N,Cat on a Hot Tin Roof,Richard Brooks
actor,\N,"[""John 'Joker' Jackson""]",The Defiant Ones,Tony Curtis
actor,\N,"[""Noah Cullen""]",The Defiant Ones,Sidney Poitier
actress,\N,"[""Billy's Mother""]",The Defiant Ones,Cara Williams
director,\N,\N,The Defiant Ones,Stanley Kramer
writer,written by,\N,The Defiant Ones,Nedrick Young
actor,\N,"[""Doctor Van Helsing""]",Dracula,Peter Cushing
actor,\N,"[""Count Dracula""]",Dracula,Christopher Lee
actor,\N,"[""Arthur Holmwood""]",Dracula,Michael Gough
director,director,\N,Dracula,Terence Fisher
writer,screenplay by,\N,Dracula,Jimmy Sangster
actor,\N,"[""Andre Delambre""]",The Fly,David Hedison
actress,\N,"[""Helene Delambre""]",The Fly,Patricia Owens
actor,\N,"[""François Delambre""]",The Fly,Vincent Price
director,director,\N,The Fly,Kurt Neumann
writer,screenplay,\N,The Fly,James Clavell
actor,\N,"[""General Rokurota Makabe""]",Kakushi-toride no san-akunin,Toshirô Mifune
actress,\N,"[""Princess Yuki""]",Kakushi-toride no san-akunin,Misa Uehara
actor,\N,"[""Tahei""]",Kakushi-toride no san-akunin,Minoru Chiaki
director,\N,\N,Kakushi-toride no san-akunin,Akira Kurosawa
writer,written by,\N,Kakushi-toride no san-akunin,Ryûzô Kikushima
actor,\N,"[""Ben Quick""]","The Long, Hot Summer",Paul Newman
actress,\N,"[""Clara Varner""]","The Long, Hot Summer",Joanne Woodward
actor,\N,"[""Jody Varner""]","The Long, Hot Summer",Anthony Franciosa
director,\N,\N,"The Long, Hot Summer",Martin Ritt
writer,"novella ""Spotted Horses""",\N,"The Long, Hot Summer",William Faulkner
actor,\N,"[""Second Officer Charles Herbert Lightoller""]",A Night to Remember,Kenneth More
actor,\N,"[""Mr. Clarke""]",A Night to Remember,Ronald Allen
actor,\N,"[""Maj. Arthur Peuchen""]",A Night to Remember,Robert Ayres
director,director,\N,A Night to Remember,Roy Ward Baker
writer,from the book by,\N,A Night to Remember,Walter Lord
actor,\N,"[""Maciek Chelmicki""]",Popiól i diament,Zbigniew Cybulski
actress,\N,"[""Krystyna""]",Popiól i diament,Ewa Krzyzewska
actor,\N,"[""Szczuka""]",Popiól i diament,Waclaw Zastrzezynski
director,\N,\N,Popiól i diament,Andrzej Wajda
writer,novel,\N,Popiól i diament,Jerzy Andrzejewski
actor,\N,"[""Cmdr. 'Rich' Richardson""]","Run Silent, Run Deep",Clark Gable
actor,\N,"[""Lt. Jim Bledsoe""]","Run Silent, Run Deep",Burt Lancaster
actor,\N,"[""Yeoman 1st Class Mueller""]","Run Silent, Run Deep",Jack Warden
director,\N,\N,"Run Silent, Run Deep",Robert Wise
writer,screenplay,\N,"Run Silent, Run Deep",John Gay
actor,\N,"[""Giuseppe 'Peppe er Pantera' Baiocchi""]",I soliti ignoti,Vittorio Gassman
actor,\N,"[""Tiberio Braschi""]",I soliti ignoti,Marcello Mastroianni
actor,\N,"[""Mario Angeletti""]",I soliti ignoti,Renato Salvatori
director,\N,\N,I soliti ignoti,Mario Monicelli
writer,story,\N,I soliti ignoti,Agenore Incrocci
actor,\N,"[""Mike Vargas""]",Touch of Evil,Charlton Heston
actor,\N,"[""Police Captain Hank Quinlan""]",Touch of Evil,Orson Welles
actress,\N,"[""Susan Vargas""]",Touch of Evil,Janet Leigh
director,\N,\N,Touch of Evil,Orson Welles
writer,screenplay,\N,Touch of Evil,Orson Welles
actor,\N,"[""John 'Scottie' Ferguson""]",Vertigo,James Stewart
actress,\N,"[""Madeleine Elster""]",Vertigo,Kim Novak
actress,\N,"[""Judy Barton""]",Vertigo,Kim Novak
director,\N,\N,Vertigo,Alfred Hitchcock
writer,screenplay by,\N,Vertigo,Alec Coppel
actor,\N,"[""Paul Biegler""]",Anatomy of a Murder,James Stewart
actress,\N,"[""Laura Manion""]",Anatomy of a Murder,Lee Remick
actor,\N,"[""Lt. Frederick Manion""]",Anatomy of a Murder,Ben Gazzara
director,\N,\N,Anatomy of a Murder,Otto Preminger
writer,screenplay,\N,Anatomy of a Murder,Wendell Mayes
actor,\N,"[""Apurba Roy""]",Apur Sansar,Soumitra Chatterjee
actress,\N,"[""Aparna""]",Apur Sansar,Sharmila Tagore
actor,\N,"[""Kajal""]",Apur Sansar,Alok Chakravarty
director,\N,\N,Apur Sansar,Satyajit Ray
