originalTitle,actor,actress,archive_footage,archive_sound,casting_director,cinematographer,composer,director,editor,producer,production_designer,self,writer,isAdult,startYear,runtimeMinutes,genres
Bisi-Bisi Ice-Cream,Gopalkrishna Deshpande Suneel Raghavendra Shanil Guru Aravinnd Iyer,Siri Ravikumar Sonu Venugopal,,,,Enosh Olivera,Nakul Abhyankar,Arvind Sastry,Arvind Sastry,Akshara Bharadwaj,,,Arvind Sastry,0,2024,\N,\N
Bitter Lake,,,George Bush George W. Bush Joanne Herring Hamid Karzai Ronald Reagan,,,,,Adam Curtis,Adam Curtis,Lucy Kelsall,,Mike Martin,Adam Curtis,0,2015,136,Documentary
Bitter Moon,Hugh Grant Peter Coyote Victor Banerjee Patrick Albenque Leo Eckmann Luca Vellani,Kristin Scott Thomas Emmanuelle Seigner Sophie Patel Smilja Mihailovitch,,,,Tonino Delli Colli,Vangelis,Roman Polanski,Hervé de Luze,Roman Polanski,Willy Holt Gérard Viard,,Pascal Bruckner Roman Polanski Gérard Brach John Brownjohn,0,1992,139,Drama Romance Thriller
Biutiful,Javier Bardem Guillermo Estrella Eduard Fernández Cheikh Ndiaye Cheng Taishen Jin Luo George Chibuikwem Chukwuma,Maricel Álvarez Hanaa Bouchaib Diaryatou Daff,,,Eva Leira Yolanda Serrano,Rodrigo Prieto,Gustavo Santaolalla,Alejandro G. Iñárritu,Stephen Mirrione,Fernando Bovaira Alejandro G. Iñárritu Jon Kilik,Brigitte Broch,,Alejandro G. Iñárritu Armando Bo Nicolás Giacobone,0,2010,148,Drama Romance
Biyeolhan geori,Zo In-sung Chun Ho-jin Min Nam-koong Lee Bo-young Jin Goo Yun Je-mun Lee Jong-hyuk Cho Jin-woong,Sun-woo Eun-sook Yi-jae Heo,,,,Hyeon-gi Choi Han Hwa-Sung Jeong Jong-Heon Lee Sung-Hwan,Cho Young-wuk,Ha Yoo,Jin-hui Jeong Jung Jin-Hee Park Kok-Ji Gok-ji Park,Im Choong-Ryul Kim Mi-Hee Choi Sun-Joong,Kim Ki-Chul Lee Seung-Han,,Jeong Moon-Joo Ha Yoo,0,2006,140,Action Crime Drama
Bizalom,Péter Andorai Károly Csáki Lajos Balázsovits Tamás Dunai Zoltán Bezerédi Béla Éless,Ildikó Bánsági Oszkárné Gombik Ildikó Kishonti Éva Bartis,,,,Lajos Koltai,,István Szabó,Zsuzsa Csákány,,József Romvári,,István Szabó Erika Szántó,0,1980,105,Drama
Bizi Hatirla,Altan Erkekli Tolga Tekin Emir Aydin Cem Kurtoglu,Özge Özberk Binnur Kaya Sumru Yavrucuk Su Burcu Yazgi Coskun Fatma Karanfil Funda Kadioglu,,,,Murat Ceylan,Çigdem Erken,Çagan Irmak,Alparslan Burak Altintas,Sükrü Avsar,,,Çagan Irmak,0,2018,120,Drama
Bizim Aile,Münir Özkul Tarik Akan Halit Akçatepe Sener Sen Saim Alpago Ahmet Ariman,Adile Nasit Itir Esen Aysen Gruda Cengiz Nezir,,,,Kriton Ilyadis,Melih Kibar,Ergin Orbey,Ismail Kalkan Mevlüt Koçak Sabit Özergül,Nahit Ataman,,,Sadik Sendil,0,1975,92,Comedy Drama
Bizim Için Sampiyon,Ekin Koç Fikret Kuskan Ali Seçkiner Alici Serkan Ercan Erdem Akakçe Sekvan Serinkaya,Farah Zeynep Abdullah Sibel Tasçioglu Merve Altinkaya Melis Sezen,,,Ezgi Baltas Sultan Ertugrul Nevra Genelioglu Ilknur Haksal,Serkan Güler,Toygar Isikli,Ahmet Katiksiz,Aylin Tinel,Fatih Aksoy Pelin Distas Yasaroglu Kerem Çatay,Burak Yerlikaya,,Ahmet Katiksiz Serkan Yoruk,0,2018,130,Biography Drama Romance
BlacKkKlansman,John David Washington Adam Driver Topher Grace Alec Baldwin Isiah Whitlock Jr. Robert John Burke Brian Tarantina Arthur J. Nascarella Ken Garito,Laura Harrier,,,Kim Coleman,Chayse Irvin,Terence Blanchard,Spike Lee,Barry Alexander Brown,Jason Blum Spike Lee Raymond Mansfield Sean McKittrick,Curt Beech,,Charlie Wachtel David Rabinowitz Kevin Willmott Spike Lee,0,2018,135,Biography Comedy Crime
Black,Amitabh Bachchan Dhritiman Chatterjee Chippy Gangjee Kenneth Desai Jiiva Vivek Prasanna Yog Japee Sha Ra Raja Rudrakodi Bhamati Sivapalan,Rani Mukerji Shernaz Patel Ayesha Kapur Sillo Mahava Mahabanoo Mody-Kotwal Salome Priya Bhavani Shankar Swayam Siddha Sindhoori Sindhujaavijii,,,Amita Sehgal,Ravi K. Chandran Gokul Benoy,Monty Sharma Sam C.S.,Sanjay Leela Bhansali Balasubramani KG,Bela Segal Philomin Raj,Sanjay Leela Bhansali Anshuman Swami Gopinath S.R. Prabhu S.R. Prakashbabu Thangaprabaharan,Sabyasachi Mukherji,,Sanjay Leela Bhansali Bhavani Iyer Prakash Kapadia Balasubramani KG A.J. Suren,0,2005,122,Drama
Black,Amitabh Bachchan Dhritiman Chatterjee Chippy Gangjee Kenneth Desai Jiiva Vivek Prasanna Yog Japee Sha Ra Raja Rudrakodi Bhamati Sivapalan,Rani Mukerji Shernaz Patel Ayesha Kapur Sillo Mahava Mahabanoo Mody-Kotwal Salome Priya Bhavani Shankar Swayam Siddha Sindhoori Sindhujaavijii,,,Amita Sehgal,Ravi K. Chandran Gokul Benoy,Monty Sharma Sam C.S.,Sanjay Leela Bhansali Balasubramani KG,Bela Segal Philomin Raj,Sanjay Leela Bhansali Anshuman Swami Gopinath S.R. Prabhu S.R. Prakashbabu Thangaprabaharan,Sabyasachi Mukherji,,Sanjay Leela Bhansali Bhavani Iyer Prakash Kapadia Balasubramani KG A.J. Suren,0,2024,115,Horror Mystery Sci-Fi
Black Bag,Michael Fassbender Gustaf Skarsgård Tom Burke Regé-Jean Page Martin Bassindale Pierce Brosnan,Cate Blanchett Marisa Abela Naomie Harris Kae Alexander,,,Carmen Cuba,Steven Soderbergh,David Holmes,Steven Soderbergh,Steven Soderbergh,Gregory Jacobs Casey Silver,Philip Messina,,David Koepp,0,2025,93,Drama Romance Thriller
Black Box Diaries,,,,,Rikiya Takano,Hanna Aqvilin Yûta Okamura Keke Shiratama,Mark De Gli Antoni,Shiori Itô,Ema Ryan Yamazaki,Hanna Aqvilin Shiori Itô Eric Nyari,,Shiori Itô,Shiori Itô,0,2024,102,Documentary
Black Butler: Book of Murder,Daisuke Ono Daisuke Ono J. Michael Tatum J. Michael Tatum Shintarô Asanuma Shintarô Asanuma Taliesin Jaffe Ryohei Kimura Ryohei Kimura Ryohei Kimura Ryohei Kimura Jason Liebrecht Yûki Kaji Yûki Kaji,Brina Palencia Maaya Sakamoto Cherami Leigh,,,,Nozomi Shitara,,Noriyuki Abe,Masahiro Gotô,,,,Yana Toboso,0,2014,116,Adventure Animation Crime
Black Christmas,Keir Dullea John Saxon James Edmond Doug McGrath Art Hindle,Olivia Hussey Margot Kidder Marian Waldman Andrea Martin Lynne Griffin,,,,Reginald H. Morris,Carl Zittrer,Bob Clark,Stan Cole,Bob Clark,,,Roy Moore,0,1974,98,Horror Mystery Thriller
Black Dynamite,Michael Jai White Arsenio Hall Tommy Davidson Obba Babatundé William Bassett Troy Lindsey Brown,Phyllis Applegate Fredella Calloway Cheryl Carter Juka Ceesay,,,Jason James Rick Montgomery,Shawn Maurer,Adrian Younge,Scott Sanders,Adrian Younge,Jenny Steingart Jon Steingart,Denise Pizzini,,Michael Jai White Byron Minns Scott Sanders,0,2009,84,Action Comedy
Black Friday,Kay Kay Menon Pawan Malhotra Aditya Srivastav Aditya Srivastav Dibyendu Bhattacharya Kishore Kadam Gajraj Rao Zakir Hussain Somesh Agarwal Akhilesh Tripathi Imtiaz Ali,,,,Gautam Kishanchandani,Natarajan Subramaniam,Indian Ocean,Anurag Kashyap,Aarti Bajaj,Arindam Mitra,Wasiq Khan,,Anurag Kashyap Hussain Zaidi Piyush Mishra,0,2004,143,Action Crime Drama
Black Hawk Down,Josh Hartnett Ewan McGregor Tom Sizemore Eric Bana William Fichtner Ewen Bremner Sam Shepard Gabriel Casseus Kim Coates Hugh Dancy Mike Goodale Shawn Nelson Dale Sizemore,,,,Bonnie Timmermann,Slawomir Idziak,Hans Zimmer,Ridley Scott Chris Mills,Pietro Scalia,Jerry Bruckheimer Ridley Scott,Arthur Max,,Mark Bowden Ken Nolan,0,2001,144,Action Drama History
Black Hawk Down,Josh Hartnett Ewan McGregor Tom Sizemore Eric Bana William Fichtner Ewen Bremner Sam Shepard Gabriel Casseus Kim Coates Hugh Dancy Mike Goodale Shawn Nelson Dale Sizemore,,,,Bonnie Timmermann,Slawomir Idziak,Hans Zimmer,Ridley Scott Chris Mills,Pietro Scalia,Jerry Bruckheimer Ridley Scott,Arthur Max,,Mark Bowden Ken Nolan,0,1997,57,Documentary
Black Mirror: Bandersnatch,Fionn Whitehead Craig Parkinson Asim Chaudhry Will Poulter Paul Michael Bradley Jonathan Aris A.J. Houghton,Alice Lowe Tallulah Haddon Catriona Knox,,,Jina Jay,Aaron Morton Jake Polonsky,Brian Reitzell,David Slade,Tony Kearns,Russell McLean,Catrin Meredydd,,Charlie Brooker,0,2018,90,Drama Fantasy Mystery
Black Narcissus,David Farrar Esmond Knight Sabu,Deborah Kerr Flora Robson Jenny Laird Judith Furse Kathleen Byron Jean Simmons May Hallatt,,,,Jack Cardiff,Brian Easdale,Michael Powell Emeric Pressburger,Reginald Mills,Michael Powell Emeric Pressburger,Alfred Junge,,Rumer Godden Michael Powell Emeric Pressburger,0,1947,101,Drama
Black Panther,Chadwick Boseman Chadwick Boseman Michael B. Jordan Martin Freeman Daniel Kaluuya Winston Duke Sterling K. Brown,Lupita Nyong'o Danai Gurira Letitia Wright Angela Bassett,,,Sarah Finn,Rachel Morrison,Ludwig Göransson,Ryan Coogler,Debbie Berman Michael P. Shawver,Kevin Feige,Hannah Beachler,,Ryan Coogler Joe Robert Cole Stan Lee Jack Kirby,0,2018,134,Action Adventure Sci-Fi
Black Robe,Lothaire Bluteau Aden Young August Schellenberg Billy Two Rivers Lawrence Bayne Linian Liu Wesley Côté Frank Wilson,Sandrine Holt Tantoo Cardinal,,,Clare Walker,Peter James,Georges Delerue,Bruce Beresford,Tim Wellburn,Robert Lantos Sue Milliken Stéphane Reichel,Herbert Pinter,,Brian Moore,0,1991,101,Adventure Drama War
Black Sabbath: The End of the End,,,,,,Bud Gallimore Eugene O'Connor,,Dick Carruthers,Tim Woolcott,Jeremy Azis,,Black Sabbath Ozzy Osbourne Tony Iommi Geezer Butler Tommy Clufetos Adam Wakeman,,0,2017,124,Documentary Music
Black Stone,Julio Katsis Negros Tou Moria Ahilleas Hariskos Alexis Vidalakis Antonis Iliakis Stratis Hatzistamatiou,Eleni Kokkidou Domenika Regou Eleni Georgiou Sofia Hristofi,,,Stavros Raptis,Andre Lascaris,,Spiros Jacovides,Ioanna Pogiantzi,Maria Kontogianni,,,Ziad Semaan Spiros Jacovides,0,2022,87,Comedy Drama
Black Swan,Vincent Cassel Vincent Cassel Benjamin Millepied Benjamin Millepied Sebastian Stan Sebastian Stan,Natalie Portman Natalie Portman Mila Kunis Mila Kunis Winona Ryder Winona Ryder Barbara Hershey Barbara Hershey Ksenia Solo Ksenia Solo Kristina Anapau Kristina Anapau Janet Montgomery Janet Montgomery,,,Mary Vernieu,Matthew Libatique,Clint Mansell,Darren Aronofsky,Andrew Weisblum,Scott Franklin Mike Medavoy Arnold Messer Brian Oliver,Thérèse DePrez,,Mark Heyman Andres Heinz John J. McLaughlin,0,2010,108,Drama Thriller
Black Tar Heroin: The Dark End of the Street,,Tracey Helton Jessica Snow,,,,Michael Chin Blake McHugh Steven Okazaki Justin Schein,Will Bernard Ovarian Trolley,Steven Okazaki,Steven Okazaki,Steven Okazaki,,Alice McMunn,,0,2000,75,Biography Documentary
BlackBerry,Jay Baruchel Glenn Howerton Matt Johnson Gregory Ambrose Calderone Martin Donovan James Elliot Miniou Fuad Musayev Ethan Eng,Kelly Van der Burg Laura Cilevitz,,,Pam Dixon Sara Kay Jenny Lewis,Jared Raab,Jay McCarrol,Matt Johnson,Curt Lobb,Fraser Ash Niv Fichman Kevin Krikst Matthew Miller,Adam Belanger,,Jacquie McNish Sean Silcoff Matt Johnson Matthew Miller,0,2023,120,Biography Comedy Drama
Blackboard Jungle,Glenn Ford Louis Calhern John Hoyt Richard Kiley Emile Meyer Warner Anderson Basil Ruysdael Sidney Poitier,Anne Francis Margaret Hayes,,,,Russell Harlan,,Richard Brooks,Ferris Webster,Pandro S. Berman,,,Richard Brooks Evan Hunter,0,1955,101,Crime Drama
Blackfish,,,Tilikum James Earl Jones Shamu,,,Jonathan Ingalls Chris Towey,Jeff Beal,Gabriela Cowperthwaite,Eli B. Despres,Gabriela Cowperthwaite Manny Oteyza,,Dave Duffus Samantha Berg Dean Gomersall John Hargrove Mark Simmons Kim Ashdown Carol Ray,Gabriela Cowperthwaite Eli B. Despres,0,2013,83,Documentary Drama Horror
Blackmail,Irrfan Khan Gajraj Rao Arunoday Singh Omi Vaidya Alfredo Tavares,Kirti Kulhari Divya Dutta Urmila Matondkar Anuja Sathe Vibha Chhibber,,,Roshmi Banerjee,Jay Oza,Badshah Mikey McCleary Parth Parekh Guru Ranghava,Abhinay Deo,Huzefa Lokhandwala,Abhinay Deo Hetvi Karia Bhushan Kumar Krishan Kumar,Harshveer Srivastava Mustafa Stationwala,,Parveez Shaikh Pradhuman Singh,0,2018,138,Comedy Drama Thriller
Blackpink: Light Up the Sky,,Reila Post,,,,Dylan Besseau Luke McCoubrey,,Caroline Suh,Peter Holmes,Cara Mones,,Blackpink Kim Jisoo Jennie Kim Lalisa Manobal Rosé,,0,2020,79,Documentary Music
Blade,Wesley Snipes Stephen Dorff Kris Kristofferson Donal Logue Udo Kier Kevin Patrick Walls Tim Guinee,N'Bushe Wright Arly Jover Traci Lords,,,Rachel Abroms Jory Weitz,Theo van de Sande,Mark Isham,Stephen Norrington,Paul Rubell,Robert Engelman Peter Frankfurt Wesley Snipes,Kirk M. Petruccelli,,David S. Goyer,0,1998,120,Action Horror Sci-Fi
Blade Runner,Harrison Ford Rutger Hauer Edward James Olmos M. Emmet Walsh William Sanderson Brion James Joe Turkel,Sean Young Daryl Hannah Joanna Cassidy,,,Jane Feinberg Mike Fenton,Jordan Cronenweth,Vangelis,Ridley Scott,Marsha Nakashima Terry Rawlings,Michael Deeley,Lawrence G. Paull,,Hampton Fancher David Webb Peoples Philip K. Dick,0,1982,117,Action Drama Sci-Fi
Blade Runner 2049,Harrison Ford Ryan Gosling Dave Bautista Mark Arnold Wood Harris David Dastmalchian Tómas Lemarquis,Ana de Armas Robin Wright Vilma Szécsi,,,Francine Maisler,Roger Deakins,Benjamin Wallfisch Hans Zimmer,Denis Villeneuve,Joe Walker,Broderick Johnson Andrew A. Kosove Cynthia Sikes Bud Yorkin,Dennis Gassner,,Hampton Fancher Michael Green Philip K. Dick,0,2017,164,Action Drama Mystery
Blancanieves,Emilio Gavira Daniel Giménez Cacho Ramón Barea Ignacio Mateos,Maribel Verdú Ángela Molina Inma Cuesta Carmen Belloch Teresa Soria Ruano Sofía Oria,,,Rosa Estévez,Kiko de la Rica,Alfonso de Vilallonga,Pablo Berger,Fernando Franco,Pablo Berger Ibon Cormenzana Jérôme Vidal,Alain Bainée,,Pablo Berger Jacob Grimm Wilhelm Grimm,0,2012,104,Drama Fantasy
Blast of Silence,Allen Baron Larry Tucker Peter Clune Danny Meehan Howard Mann Charles Creasap Bill DePrato Joe Bubbico,Molly McCarthy Milda Memenas,,,,Merrill S. Brody,Meyer Kupferman,Allen Baron,Merrill S. Brody Peggy Lawson,Merrill S. Brody,,,Allen Baron Waldo Salt,0,1961,77,Crime Drama Thriller
Blazing Saddles,Cleavon Little Gene Wilder Slim Pickens Harvey Korman Mel Brooks Mel Brooks Burton Gilliam Alex Karras David Huddleston Liam Dunn,Madeline Kahn,,,Nessa Hyams,Joseph F. Biroc,John Morris,Mel Brooks,Danford B. Greene John C. Howard,Michael Hertzberg,Peter Wooley,,Mel Brooks Norman Steinberg Andrew Bergman Richard Pryor,0,1974,93,Comedy Western
Bleach: Memories of Nobody,Masakazu Morita Hiroki Yasumoto Noriaki Sugiyama Kentarô Itô Fumihiko Tachiki Masaaki Tsukada Kiyoyuki Yanada Akio Ôtsuka,Fumiko Orikasa Chiwa Saitô,,,,Toshiyuki Fukushima,Shirô Sagisu,Noriyuki Abe,Hidetoshi Okuno Jun'ichi Uematsu,Mikihiko Fukazawa Ken Hagino,,,Masashi Sogo Tite Kubo,0,2006,87,Action Adventure Animation
Blind,Joren Seldeslachts Jan Decleir,Halina Reijn Katelijne Verbeke Amaryllis Uitterlinden Lien De Graeve Wine Dierickx Reinhilde Decleir Hilt de Vos Ina Geerts,,,Marc van Bree,Gregor Meerman,Tom Holkenborg,Tamar van den Dop,Sander Vos,Petra Goedings Erwin Provoost,Hubert Pouille,,Tamar van den Dop,0,2007,98,Drama Romance
Blindspotting,Daveed Diggs Rafael Casal Ethan Embry Utkarsh Ambudkar Kevin Carroll Nyambi Nyambi Jon Chaffin,Janina Gavankar Jasmine Cephas Jones Tisha Campbell,,,Kimberly Hardin Nina Henninger,Robby Baumgartner,Michael Yezerski,Carlos López Estrada,Gabriel Fleming,Jess Wu Calder Keith Calder Rafael Casal Daveed Diggs,Tom Hammock,,Rafael Casal Daveed Diggs,0,2018,95,Comedy Crime Drama
Blinkende lygter,Søren Pilmark Ulrich Thomsen Mads Mikkelsen Nikolaj Lie Kaas Frits Helmuth Ole Thestrup Peter Andersson Niels Anders Thorn,Sofie Gråbøl Iben Hjejle,,,,Eric Kress,Bent Fabricius-Bjerre Jeppe Kaas,Anders Thomas Jensen,Anders Villadsen,Kim Magnusson Tivi Magnusson,Søren Breum,,Anders Thomas Jensen,0,2000,109,Action Comedy Crime
Block-Heads,Stan Laurel Oliver Hardy Billy Gilbert James Finlayson Harry Anderson Walter Bacon Mike Behegan,Patricia Ellis Minna Gombell Zeffie Tilbury,,,,Art Lloyd,,John G. Blystone,Bert Jordan,,,,Charley Rogers Felix Adler James Parrott Harry Langdon,0,1938,57,Comedy Family War
"Bloed, zweet & tranen",Martijn Fischer Fedja van Huêt Matheu Hinzen Raymond Thiry Marcel Hensema Harvey Avans Alex Barbaix,Hadewych Minis Nadine van Asbeck Elisa Beuger,,,Shanti Besseling Job Castelijn Janusz Gosschalk,Bert Pot,Melcher Meirmans Joris Oonk Chrisnanne Wiegel,Diederick Koopal,Marc Bechtold Manu Van Hove,Joost de Vries Eva Eisenloeffel Leontine Petit Derk-Jan Warrink,Alfred Schaaf,,Frank Ketelaar Diederick Koopal Joram Lürsen Philip Delmaar,0,2015,111,Biography Drama Music
Blonde Crazy,James Cagney Louis Calhern Ray Milland Guy Kibbee William Burress Nat Pendleton,Joan Blondell Noel Francis Polly Walters Maude Eburne,,,,Ernest Haller Sidney Hickox,,Roy Del Ruth,Ralph Dawson,,,,Kubec Glasmon John Bright,0,1931,79,Comedy Crime Drama
Blonde Venus,Cary Grant Herbert Marshall Dickie Moore Gene Morgan Robert Emmett O'Connor Sidney Toler Morgan Wallace Eric Alden,Marlene Dietrich Rita La Roy,,,,Bert Glennon,,Josef von Sternberg,,,,,Jules Furthman S.K. Lauren,0,1932,93,Drama
Blood Brother,,,,,,John Pope,Danny Bracken A.J. Hochhalter Keith Kenniff Joseph Minadeo,Steve Hoover,Steve Hoover Tyson VanSkiver,Danny Yourd,,Rocky Braat Steve Hoover Anitha Devi Deepa Lattha Kowsala Sathish Subbu Keerthi,Phinehas Hodges Kira Hoover Steve Hoover Tyson VanSkiver,0,2013,92,Documentary
Blood Diamond,Leonardo DiCaprio Djimon Hounsou Kagiso Kuypers Arnold Vosloo Antony Coleman David Harewood Basil Wallace,Jennifer Connelly Benu Mabhena Anointing Lukola,,,Victoria Thomas,Eduardo Serra,James Newton Howard,Edward Zwick,Steven Rosenblum,Gillian Gorfil Marshall Herskovitz Graham King Paula Weinstein,Dan Weil,,Charles Leavitt C. Gaby Mitchell,0,2006,143,Adventure Drama Thriller
Blood Into Wine,,,,,,Cary Truelick,,Ryan Page Christopher Pomerenke,Robert Beadle,Chris McDaniel Ryan Page Christopher Pomerenke Jason Stall,,Glenn Alexander Tim Alexander Fairuza Balk Tom Beaujour Hugh Chappelle Gayle Diehl Ken Foster Eric Glomski Tim Heidecker Steve Heimoff,Ryan Page Christopher Pomerenke,0,2010,100,Documentary
Blood Simple,John Getz Dan Hedaya M. Emmet Walsh Samm-Art Williams Van Brooks Señor Marco William Creamer,Frances McDormand Deborah Neumann Raquel Gavia,,,Julie Hughes Barry Moss,Barry Sonnenfeld,Carter Burwell,Joel Coen,Ethan Coen Joel Coen Don Wiegmann,Ethan Coen,Jane Musky,,Joel Coen Ethan Coen,0,1984,99,Crime Drama Thriller
Blood and Black,Yanni Jackson Kishore Ram Sanjay Sugi Vijay,Sharmi,,,,Mohan Chandra,Hari Dass,Guru Karthikeyan,Santhosh Kumar,Porkodi Vasudevan,,,Guru Karthikeyan,0,2024,88,Crime Drama Horror
"Bloody Nose, Empty Pockets",Peter Elwell Michael Martin Shay Walker,,,,,Bill Ross IV Turner Ross,Casey Wayne McAllister,Bill Ross IV Turner Ross,Bill Ross IV,Michael Gottwald Bill Ross IV Turner Ross Chere Theriot,,,,0,2020,98,Documentary Drama
Bloody Sunday,James Nesbitt Tim Pigott-Smith Nicholas Farrell Allan Gildea Gerard Crossan Christopher Villiers James Hewitt Declan Duddy,Mary Moulds Carmel McCallion,,,John Hubbard Ros Hubbard,Ivan Strasburg,Dominic Muldowney,Paul Greengrass,Clare Douglas,Mark Redhead,John Paul Kelly,,Paul Greengrass,0,2002,111,Drama History War
Blow,Johnny Depp Paul Reubens Jordi Mollà Cliff Curtis Miguel Sandoval Ethan Suplee Ray Liotta,Penélope Cruz Franka Potente Rachel Griffiths,,,Kurt Clements Avy Kaufman,Ellen Kuras,Graeme Revell,Ted Demme,Kevin Tent,Ted Demme Tomas Krejci Denis Leary Joel Stillerman,Michael Z. Hanan,,Bruce Porter David McKenna Nick Cassavetes,0,2001,124,Biography Crime Drama
Blow Out,John Travolta John Lithgow Dennis Franz Peter Boyden Curt May John Aquino John McMartin J. Patrick McNamara,Nancy Allen Deborah Everton,,,Lynn Stalmaster,Vilmos Zsigmond,Pino Donaggio,Brian De Palma,Paul Hirsch,George Litto,Paul Sylbert,,Brian De Palma,0,1981,108,Crime Drama Mystery
Blow-Up,David Hemmings John Castle Peter Bowles Julian Chagrin,Vanessa Redgrave Sarah Miles Jane Birkin Gillian Hills Veruschka von Lehndorff Claude Chagrin,,,,Carlo Di Palma,Herbie Hancock,Michelangelo Antonioni,,Carlo Ponti,,,Michelangelo Antonioni Julio Cortázar Tonino Guerra Edward Bond,0,1966,111,Drama Mystery Thriller
Blue,John Quentin Nigel Terry,Tilda Swinton,Batu Mutlugil Kerim Çapli Yavuz Çetin,,,Gökhan Kalan Nil Kara,Simon Fisher-Turner Batu Mutlugil Sunay Özgür,Derek Jarman Mehmet Sertan Ünver,Mehmet Sertan Ünver,Takashi Asai James Mackay Suzan Güverte,,Derek Jarman Derek Jarman Aylin Aslim Göksel Batuhan Mutlugil Erkan Ogur Zafer Sanli Sunay Özgür,Derek Jarman Suzan Güverte Mehmet Sertan Ünver,0,1993,79,Biography Drama
Blue,John Quentin Nigel Terry,Tilda Swinton,Batu Mutlugil Kerim Çapli Yavuz Çetin,,,Gökhan Kalan Nil Kara,Simon Fisher-Turner Batu Mutlugil Sunay Özgür,Derek Jarman Mehmet Sertan Ünver,Mehmet Sertan Ünver,Takashi Asai James Mackay Suzan Güverte,,Derek Jarman Derek Jarman Aylin Aslim Göksel Batuhan Mutlugil Erkan Ogur Zafer Sanli Sunay Özgür,Derek Jarman Suzan Güverte Mehmet Sertan Ünver,0,2017,100,Documentary Music
Blue Bayou,Justin Chon Mark O'Brien Vondie Curtis-Hall Emory Cohen Toby Vitrano Altonio Jackson,Alicia Vikander Linh-Dan Pham Sydney Kowalske Geraldine Singer,,,Chelsea Ellis Bloch Marisol Roncali,Ante Cheng Matthew Chuang,Roger Suen,Justin Chon,Reynolds Barney,Justin Chon Poppy Hanks Charles D. King Kim Roth,Shin Bo-kyeong,,Justin Chon,0,2021,117,Crime Drama
Blue Collar,Richard Pryor Harvey Keitel Yaphet Kotto Ed Begley Jr. Harry Bellaver George Memmoli Lane Smith Cliff De Young Borah Silver,Lucy Saroyan,,,Vic Ramos,Bobby Byrne,Jack Nitzsche,Paul Schrader,Tom Rolf,Don Guest,Lawrence G. Paull,,Paul Schrader Leonard Schrader Sydney A. Glass,0,1978,114,Crime Drama
Blue Collar Comedy Tour: The Movie,David Alan Grier,Heidi Klum,,,,Bruce L. Finn,James S. Levine,C.B. Harding,Tony Hayman,Alan C. Blomquist Casey La Scala Hunt Lowry J.P. Williams,Jeff Hall,Jeff Foxworthy Bill Engvall Ron White Larry the Cable Guy,Bill Engvall Jeff Foxworthy Larry the Cable Guy Ron White,0,2003,105,Comedy Documentary
Blue Giant,Junya Abe Yutaka Aoyama Ryosuke Higa Ikkyû Jaku Masayuki Katô Yasuhiro Kikuchi,Mika Doi Hana Hishikawa Misa Kato Sayaka Kinoshita,,,,Kasumi Tôgô,Hiromi Uehara,Yuzuru Tachikawa,Kiyoshi Hirose,Mikito Bizenjima Eri Isobe Katsuhiro Takei,,,NUMBER 8 Shin'ichi Ishizuka,0,2023,120,Animation Drama Music
Blue Gold: World Water Wars,,,,,,Samuel Vartek,Thomas Aichinger Hannes Bertolini,Samuel Vartek,Samuel Vartek,Samuel Vartek,,Jim Olson Tony Clarke Maude Barlow Octavio Rosas Lando Eduardo Hernando Halez Robert Glennon Ryan Schwebach Michael Kravcik Vandana Shiva Peter Warshall,Maude Barlow Tony Clarke Samuel Vartek,0,2008,90,Documentary
Blue Jasmine,Alec Baldwin Peter Sarsgaard Richard Conti Glen Caspillo Charlie Tahan Daniel Jenks,Cate Blanchett Sally Hawkins Joy Carlin Annie McNamara,,,Patricia DiCerto Juliet Taylor,Javier Aguirresarobe,,Woody Allen,Alisa Lepselter,Letty Aronson Stephen Tenenbaum Edward Walson,Santo Loquasto,,Woody Allen,0,2013,98,Comedy Drama Romance
Blue Jay,Mark Duplass Clu Gulager James Andrews Harris Benbury Daniel Brooks Bill Greer,Sarah Paulson Mary Brooks Cindy Greer Ana Iovine,,,Amey René,Alex Lehmann,Julian Wass,Alex Lehmann,Christopher Donlon,Xan Aranda Mel Eslyn,Margaret Box,,Mark Duplass,0,2016,80,Drama Romance
Blue Ruin,Macon Blair Devin Ratray Kevin Kolack Ronald Sarcos George Fredericks,Amy Hargreaves Ydaiber Orozco Dani Santiago Adrian Santiago Elizabeth Fredericks,,,Harley Kaplan Brandon Powers,Jeremy Saulnier,Brooke Blair Will Blair,Jeremy Saulnier,Julia Bloch,Richard Peete Vincent Savino Anish Savjani,Kaet McAnneny,,Jeremy Saulnier,0,2013,90,Crime Drama Thriller
Blue Valentine,Ryan Gosling John Doman Mike Vogel Marshall Johnson James Benatti,Michelle Williams Faith Wladyka Jen Jones Maryann Plunkett Barbara Troy,,,Cindy Tolan,Andrij Parekh,Grizzly Bear,Derek Cianfrance,Jim Helton Ron Patane,Lynette Howell Taylor Alex Orlovsky Jamie Patricof,Inbal Weinberg,,Derek Cianfrance Joey Curtis Cami Delavigne,0,2010,112,Drama Romance
